state,weekid,dose1,dose2
Himachal Pradesh,28,150211,43390
Himachal Pradesh,29,45271,14927
Himachal Pradesh,30,28407,26677
Himachal Pradesh,31,12033,19823
Himachal Pradesh,32,12105,31805
Jammu and Kashmir,1,3242,0
Jammu and Kashmir,2,17993,0
Jammu and Kashmir,3,10893,0
Jammu and Kashmir,4,29275,334
Jammu and Kashmir,5,19365,11080
Jammu and Kashmir,6,7214,9588
Jammu and Kashmir,7,18629,7932
Jammu and Kashmir,8,25927,18620
Jammu and Kashmir,9,116361,19131
Jammu and Kashmir,10,303750,8267
Jammu and Kashmir,11,83174,3923
Jammu and Kashmir,12,85000,12390
Jammu and Kashmir,13,45278,22711
Jammu and Kashmir,14,54367,77270
Jammu and Kashmir,15,86924,162825
Jammu and Kashmir,16,45448,111604
Jammu and Kashmir,17,32583,40986
Jammu and Kashmir,18,59022,334
Jammu and Kashmir,19,36084,578
Jammu and Kashmir,20,46963,471
Jammu and Kashmir,21,19783,4493
Jammu and Kashmir,22,236415,24532
Jammu and Kashmir,23,510210,36598
Jammu and Kashmir,24,104894,40919
Jammu and Kashmir,25,59108,32856
Jammu and Kashmir,26,82326,44761
Jammu and Kashmir,27,69473,49589
Jammu and Kashmir,28,150211,43390
Jammu and Kashmir,29,45271,14927
Jammu and Kashmir,30,28407,26677
Jammu and Kashmir,31,12033,19823
Jammu and Kashmir,32,12105,31805
Jharkhand,1,3242,0
Jharkhand,2,17993,0
Jharkhand,3,10893,0
Jharkhand,4,29275,334
Jharkhand,5,19365,11080
Jharkhand,6,7214,9588
Jharkhand,7,18629,7932
Jharkhand,8,25927,18620
Jharkhand,9,116361,19131
Jharkhand,10,303750,8267
Jharkhand,11,83174,3923
Jharkhand,12,85000,12390
Jharkhand,13,45278,22711
Jharkhand,14,54367,77270
Jharkhand,15,86924,162825
Jharkhand,16,45448,111604
Jharkhand,17,32583,40986
Jharkhand,18,59022,334
Jharkhand,19,36084,578
Jharkhand,20,46963,471
Jharkhand,21,19783,4493
Jharkhand,22,236415,24532
Jharkhand,23,510210,36598
Jharkhand,24,104894,40919
Jharkhand,25,59108,32856
Jharkhand,26,82326,44761
Jharkhand,27,69473,49589
Jharkhand,28,150211,43390
Jharkhand,29,45271,14927
Jharkhand,30,28407,26677
Jharkhand,31,12033,19823
Jharkhand,32,12105,31805
Karnataka,1,3242,0
Karnataka,2,17993,0
Karnataka,3,10893,0
Karnataka,4,29275,334
Karnataka,5,19365,11080
Karnataka,6,7214,9588
Karnataka,7,18629,7932
Karnataka,8,25927,18620
Karnataka,9,116361,19131
Karnataka,10,303750,8267
Karnataka,11,83174,3923
Karnataka,12,85000,12390
Karnataka,13,45278,22711
Karnataka,14,54367,77270
Karnataka,15,86924,162825
Karnataka,16,45448,111604
Karnataka,17,32583,40986
Karnataka,18,59022,334
Karnataka,19,36084,578
Karnataka,20,46963,471
Karnataka,21,19783,4493
Karnataka,22,236415,24532
Karnataka,23,510210,36598
Karnataka,24,104894,40919
Karnataka,25,59108,32856
Karnataka,26,82326,44761
Karnataka,27,69473,49589
Karnataka,28,150211,43390
Karnataka,29,45271,14927
Karnataka,30,28407,26677
Karnataka,31,12033,19823
Karnataka,32,12105,31805
Kerala,1,3242,0
Kerala,2,17993,0
Kerala,3,10893,0
Kerala,4,29275,334
Kerala,5,19365,11080
Kerala,6,7214,9588
Kerala,7,18629,7932
Kerala,8,25927,18620
Kerala,9,116361,19131
Kerala,10,303750,8267
Kerala,11,83174,3923
Kerala,12,85000,12390
Kerala,13,45278,22711
Kerala,14,54367,77270
Kerala,15,86924,162825
Kerala,16,45448,111604
Kerala,17,32583,40986
Kerala,18,59022,334
Kerala,19,36084,578
Kerala,20,46963,471
Kerala,21,19783,4493
Kerala,22,236415,24532
Kerala,23,510210,36598
Kerala,24,104894,40919
Kerala,25,59108,32856
Kerala,26,82326,44761
Kerala,27,69473,49589
Kerala,28,150211,43390
Kerala,29,45271,14927
Kerala,30,28407,26677
Kerala,31,12033,19823
Kerala,32,12105,31805
Ladakh,1,3242,0
Ladakh,2,17993,0
Ladakh,3,10893,0
Ladakh,4,29275,334
Ladakh,5,19365,11080
Ladakh,6,7214,9588
Ladakh,7,18629,7932
Ladakh,8,25927,18620
Ladakh,9,116361,19131
Ladakh,10,303750,8267
Ladakh,11,83174,3923
Ladakh,12,85000,12390
Ladakh,13,45278,22711
Ladakh,14,54367,77270
Ladakh,15,86924,162825
Ladakh,16,45448,111604
Ladakh,17,32583,40986
Ladakh,18,59022,334
Ladakh,19,36084,578
Ladakh,20,46963,471
Ladakh,21,19783,4493
Ladakh,22,236415,24532
Ladakh,23,510210,36598
Ladakh,24,104894,40919
Ladakh,25,59108,32856
Ladakh,26,82326,44761
Ladakh,27,69473,49589
Ladakh,28,150211,43390
Ladakh,29,45271,14927
Ladakh,30,28407,26677
Ladakh,31,12033,19823
Ladakh,32,12105,31805
Lakshadweep,1,3242,0
Lakshadweep,2,17993,0
Lakshadweep,3,10893,0
Lakshadweep,4,29275,334
Lakshadweep,5,19365,11080
Lakshadweep,6,7214,9588
Lakshadweep,7,18629,7932
Lakshadweep,8,25927,18620
Lakshadweep,9,116361,19131
Lakshadweep,10,303750,8267
Lakshadweep,11,83174,3923
Lakshadweep,12,85000,12390
Lakshadweep,13,45278,22711
Lakshadweep,14,54367,77270
Lakshadweep,15,86924,162825
Lakshadweep,16,45448,111604
Lakshadweep,17,32583,40986
Lakshadweep,18,59022,334
Lakshadweep,19,36084,578
Lakshadweep,20,46963,471
Lakshadweep,21,19783,4493
Lakshadweep,22,236415,24532
Lakshadweep,23,510210,36598
Lakshadweep,24,104894,40919
Lakshadweep,25,59108,32856
Lakshadweep,26,82326,44761
Lakshadweep,27,69473,49589
Lakshadweep,28,150211,43390
Lakshadweep,29,45271,14927
Lakshadweep,30,28407,26677
Lakshadweep,31,12033,19823
Lakshadweep,32,12105,31805
Madhya Pradesh,1,3242,0
Madhya Pradesh,2,17993,0
Madhya Pradesh,3,10893,0
Madhya Pradesh,4,29275,334
Madhya Pradesh,5,19365,11080
Madhya Pradesh,6,7214,9588
Madhya Pradesh,7,18629,7932
Madhya Pradesh,8,25927,18620
Madhya Pradesh,9,116361,19131
Madhya Pradesh,10,303750,8267
Madhya Pradesh,11,83174,3923
Madhya Pradesh,12,85000,12390
Madhya Pradesh,13,45278,22711
Madhya Pradesh,14,54367,77270
Madhya Pradesh,15,86924,162825
Madhya Pradesh,16,45448,111604
Madhya Pradesh,17,32583,40986
Madhya Pradesh,18,59022,334
Madhya Pradesh,19,36084,578
Madhya Pradesh,20,46963,471
Madhya Pradesh,21,19783,4493
Madhya Pradesh,22,236415,24532
Madhya Pradesh,23,510210,36598
Madhya Pradesh,24,104894,40919
Madhya Pradesh,25,59108,32856
Madhya Pradesh,26,82326,44761
Madhya Pradesh,27,69473,49589
Madhya Pradesh,28,150211,43390
Madhya Pradesh,29,45271,14927
Madhya Pradesh,30,28407,26677
Madhya Pradesh,31,12033,19823
Madhya Pradesh,32,12105,31805
Maharashtra,1,3242,0
Maharashtra,2,17993,0
Maharashtra,3,10893,0
Maharashtra,4,29275,334
Maharashtra,5,19365,11080
Maharashtra,6,7214,9588
Maharashtra,7,18629,7932
Maharashtra,8,25927,18620
Maharashtra,9,116361,19131
Maharashtra,10,303750,8267
Maharashtra,11,83174,3923
Maharashtra,12,85000,12390
Maharashtra,13,45278,22711
Maharashtra,14,54367,77270
Maharashtra,15,86924,162825
Maharashtra,16,45448,111604
Maharashtra,17,32583,40986
Maharashtra,18,59022,334
Maharashtra,19,36084,578
Maharashtra,20,46963,471
Maharashtra,21,19783,4493
Maharashtra,22,236415,24532
Maharashtra,23,510210,36598
Maharashtra,24,104894,40919
Maharashtra,25,59108,32856
Maharashtra,26,82326,44761
Maharashtra,27,69473,49589
Maharashtra,28,150211,43390
Maharashtra,29,45271,14927
Maharashtra,30,28407,26677
Maharashtra,31,12033,19823
Maharashtra,32,12105,31805
Manipur,1,3242,0
Manipur,2,17993,0
Manipur,3,10893,0
Manipur,4,29275,334
Manipur,5,19365,11080
Manipur,6,7214,9588
Manipur,7,18629,7932
Manipur,8,25927,18620
Manipur,9,116361,19131
Manipur,10,303750,8267
Manipur,11,83174,3923
Manipur,12,85000,12390
Manipur,13,45278,22711
Manipur,14,54367,77270
Manipur,15,86924,162825
Manipur,16,45448,111604
Manipur,17,32583,40986
Manipur,18,59022,334
Manipur,19,36084,578
Manipur,20,46963,471
Manipur,21,19783,4493
Manipur,22,236415,24532
Manipur,23,510210,36598
Manipur,24,104894,40919
Manipur,25,59108,32856
Manipur,26,82326,44761
Manipur,27,69473,49589
Manipur,28,150211,43390
Manipur,29,45271,14927
Manipur,30,28407,26677
Manipur,31,12033,19823
Manipur,32,12105,31805
Meghalaya,1,3242,0
Meghalaya,2,17993,0
Meghalaya,3,10893,0
Meghalaya,4,29275,334
Meghalaya,5,19365,11080
Meghalaya,6,7214,9588
Meghalaya,7,18629,7932
Meghalaya,8,25927,18620
Meghalaya,9,116361,19131
Meghalaya,10,303750,8267
Meghalaya,11,83174,3923
Meghalaya,12,85000,12390
Meghalaya,13,45278,22711
Meghalaya,14,54367,77270
Meghalaya,15,86924,162825
Meghalaya,16,45448,111604
Meghalaya,17,32583,40986
Meghalaya,18,59022,334
Meghalaya,19,36084,578
Meghalaya,20,46963,471
Meghalaya,21,19783,4493
Meghalaya,22,236415,24532
Meghalaya,23,510210,36598
Meghalaya,24,104894,40919
Meghalaya,25,59108,32856
Meghalaya,26,82326,44761
Meghalaya,27,69473,49589
Meghalaya,28,150211,43390
Meghalaya,29,45271,14927
Meghalaya,30,28407,26677
Meghalaya,31,12033,19823
Meghalaya,32,12105,31805
Mizoram,1,3242,0
Mizoram,2,17993,0
Mizoram,3,10893,0
Mizoram,4,29275,334
Mizoram,5,19365,11080
Mizoram,6,7214,9588
Mizoram,7,18629,7932
Mizoram,8,25927,18620
Mizoram,9,116361,19131
Mizoram,10,303750,8267
Mizoram,11,83174,3923
Mizoram,12,85000,12390
Mizoram,13,45278,22711
Mizoram,14,54367,77270
Mizoram,15,86924,162825
Mizoram,16,45448,111604
Mizoram,17,32583,40986
Mizoram,18,59022,334
Mizoram,19,36084,578
Mizoram,20,46963,471
Mizoram,21,19783,4493
Mizoram,22,236415,24532
Mizoram,23,510210,36598
Mizoram,24,104894,40919
Mizoram,25,59108,32856
Mizoram,26,82326,44761
Mizoram,27,69473,49589
Mizoram,28,150211,43390
Mizoram,29,45271,14927
Mizoram,30,28407,26677
Mizoram,31,12033,19823
Mizoram,32,12105,31805
Nagaland,1,3242,0
Nagaland,2,17993,0
Nagaland,3,10893,0
Nagaland,4,29275,334
Nagaland,5,19365,11080
Nagaland,6,7214,9588
Nagaland,7,18629,7932
Nagaland,8,25927,18620
Nagaland,9,116361,19131
Nagaland,10,303750,8267
Nagaland,11,83174,3923
Nagaland,12,85000,12390
Nagaland,13,45278,22711
Nagaland,14,54367,77270
Nagaland,15,86924,162825
Nagaland,16,45448,111604
Nagaland,17,32583,40986
Nagaland,18,59022,334
Nagaland,19,36084,578
Nagaland,20,46963,471
Nagaland,21,19783,4493
Nagaland,22,236415,24532
Nagaland,23,510210,36598
Nagaland,24,104894,40919
Nagaland,25,59108,32856
Nagaland,26,82326,44761
Nagaland,27,69473,49589
Nagaland,28,150211,43390
Nagaland,29,45271,14927
Nagaland,30,28407,26677
Nagaland,31,12033,19823
Nagaland,32,12105,31805
Odisha,1,3242,0
Odisha,2,17993,0
Odisha,3,10893,0
Odisha,4,29275,334
Odisha,5,19365,11080
Odisha,6,7214,9588
Odisha,7,18629,7932
Odisha,8,25927,18620
Odisha,9,116361,19131
Odisha,10,303750,8267
Odisha,11,83174,3923
Odisha,12,85000,12390
Odisha,13,45278,22711
Odisha,14,54367,77270
Odisha,15,86924,162825
Odisha,16,45448,111604
Odisha,17,32583,40986
Odisha,18,59022,334
Odisha,19,36084,578
Odisha,20,46963,471
Odisha,21,19783,4493
Odisha,22,236415,24532
Odisha,23,510210,36598
Odisha,24,104894,40919
Odisha,25,59108,32856
Odisha,26,82326,44761
Odisha,27,69473,49589
Odisha,28,150211,43390
Odisha,29,45271,14927
Odisha,30,28407,26677
Odisha,31,12033,19823
Odisha,32,12105,31805
Puducherry,1,3242,0
Puducherry,2,17993,0
Puducherry,3,10893,0
Puducherry,4,29275,334
Puducherry,5,19365,11080
Puducherry,6,7214,9588
Puducherry,7,18629,7932
Puducherry,8,25927,18620
Puducherry,9,116361,19131
Puducherry,10,303750,8267
Puducherry,11,83174,3923
Puducherry,12,85000,12390
Puducherry,13,45278,22711
Puducherry,14,54367,77270
Puducherry,15,86924,162825
Puducherry,16,45448,111604
Puducherry,17,32583,40986
Puducherry,18,59022,334
Puducherry,19,36084,578
